nr,Identification,Title,LSC category,Input data required,Output produced,DataIventory nr.,Abstract,Keywords,Authors,Year,Operative System,Documentation location,License,Contact - Name,Contact - Organization,Contact - Role,Contact - Email,Language,Citation,@dropdown
12,https://play.google.com/store/apps/details?id=com.kalro.kalroaiexpat,KALRO AI Expat,,,,,KALRO AI Expat is a mobile app developed by KALRO with the aim of linking farmers to Artificial insemination service providers.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
13,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app799012,Potato Cyst Nematode Control,Crop,,,,"PCN nematodes are very small, slender, eel-shaped, worm-like organisms that are parasitic on or within plant tissues. PCN forms survival structures called cysts.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
14,https://play.google.com/store/apps/details?id=com.kilimostat,KilimoSTAT,,,,,"KilimoSTAT provides data and statistics on Kenyas agricultural sector covering crops, livestock, fisheries, agroforestry, climate change and food & nutrition.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
15,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app1045397,Rice Production Guidelines,Crop,,,,"Guidelines for Rice Production in East Africa including Agronomic practices and Rice Varieties, Rice Diseases in East Africa, Rice Pests in East Africa, Rice Weeds in East Africa, Physiological Disorders in Rice in East Africa, Pre-harvest, Post-harvest and Value Addition of Rice in East Africa and Rice Gross Margins in East Africa.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
16,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app801932,KALRO New Cassava Varieties,Crop,,,,"Cassava (Manihot esculenta Crantz), is the world’s most widely grown starch storage root crop and accounts for a third of the total production of staple food crops in sub Saharan Africa.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
17,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app925777,KALRO Coffee,Crop,,,,"Coffee consumption has existed for more than 1,000 years leading to the current status of being the most consumed drink to water with over 33.33 Billion cups per month and most traded commodity after oil as per 2017 statistics.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
18,https://play.google.com/store/apps/details?id=com.kalro.laopweatherapp,LAOP Weather App,,,,,LAOP is an integrated online platform that uses Geo-data from satellites to generate real-time and location-specific agro-advisories for farmers and other stakeholders.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
19,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app803320,KALRO GLS Maize Varieties,Crop,,,,"GLS is a foliar fungal disease that affects maize. There are two fungal pathogens that cause GLS, which are Cercospora zeae-maydis and Cercospora zeina. The Symptoms include leaf lesions, discoloration (chlorosis), and foliar blight.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
20,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app873537,Mahindi Bora for Coastal and L,Crop,,,,"Geographically, Kenya is a diverse country with many agro-ecological zones (AEZs). Maize (Zea mays L.) provides basic diet to millions of people in Kenya. Total land area under maize production is about 1.5 million hectares, with an annual average production estimated at 3.0 million metric tons.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
21,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app805047,Production of Pomegranate,Crop,,,,Pomogranate is in the Punicaceae family and originated in South East Asia. Its production in Kenya remains obscure since it is not documented. It favours semi-arid climate and is extremely drought tolerant. It is eaten fresh and processed into juice.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
22,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app964209,Total Mixed Ration (TMR) For M,,,,,"In Kenya, the demand for quality animal products such as milk, meat, and eggs is ever increasing mainly due to human population growth, further urbanization, increased disposable incomes, greater diversity of food products to meet nutritional needs, and increased opportunities for domestic and external trade.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
23,https://play.google.com/store/apps/details?id=com.kalro.tela,TELA Kenya,,,,,The TELA Maize Project is a public-private partnership that is working towards initiating the commercialization of transgenic insect-protected and later drought-tolerant maize varieties to enhance food security in Sub-Saharan Africa. ,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
24,https://play.google.com/store/apps/details?id=com.kalro.kalrotimps,KALRO TIMPs,Crop,,,,This App presents Manuals as step-by- step procedures of implementing CSA innovations for each of the value chains being addressed. The training content is drawn from the TIMPs that support respective value chains. ,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
25,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app813717,KALRO Spider Flower Production,Crop,,,,"Spider plant is an important African indigenous vegetable. It is also known as the spider flower African cabbage, spider wisp, and whiskers in other African countries.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
26,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app862457,KALRO Gooseberry,Crop,,,,"In 2010, Kenya Agricultural Research Institute (now Kenya Agricultural & Livestock Research Organization (KALRO)) classified cape gooseberry as an underutilized fruit in Kenya. It was ranked by stakeholders as the 7th most important underutilized fruit.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
27,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app801270,KALRO New Banana Varieties,Crop,,,,This application showcases KALRO New Banana Varieties and Characteristics.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
28,https://play.google.com/store/apps/details?id=com.kalrokilimobora,KALRO KilimoBora,Crop,,,,KilimoBora is a mobile learning center developed by KALRO especially for small scale farmers in Kenya. It can also be use by extension officer for refresher courses and anyone else interested in learning about the agriculture and livestock sector in Kenya.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
29,https://play.google.com/store/apps/details?id=com.kalro.kalrofingermilletapp,KALRO Finger Millet App,Crop,,,,This is a mobile app created for helping to alleviate challenges associated with finger millet.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
30,https://play.google.com/store/apps/details?id=com.kalro.kalrovideos,KALRO VIDEOS,,,,,"Mango (Mangifera Indica) [Local Names: Maembe, Mawembe] has been cultivated in the country for centuries especially in the coastal area. In recent years Mango growing in Kenya has spread to other regions especially with the introduction of new cultivars. ",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
31,https://play.google.com/store/apps/details?id=com.siayaexample.siaya_gaps,Siaya GAPs,Crop,,,,Siaya GAPs is a mobile application developed by KALRO that gives extension services to both farmers and Extension officers on some Good Agricultural Practices,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
32,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app928007,KALRO Cashew Nut,Crop,,,,"Cashew nut is scientifically known as Anacardium occidentale, and locally known as Mkorosho, or Mkanju (Swahili). The crop originated from the Northern part of South America. ",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
33,https://play.google.com/store/apps/details?id=com.KALRO.Macadamia,KALRO Macadamia Nut,Crop,,,,"Macadamia belongs to the family Proteaceae and is native to south-eastern Queensland, Australia where it grows in the wild. Although there are ten species only two (Macadamia integrifolia [smooth-shelled type) and Macadamia tetraphylla [rough-shelled type]) are edible.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
34,https://play.google.com/store/apps/details?id=com.newandromo.dev290076.app1412144,Beans Platform,Crop,,,,"The platform was developed to enable beans farmers and buyers to directly meet online to buy and sell beans by negotiating prices, volumes and varieties of beans they want.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
35,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app883023,Mahindi Bora for Medium Altitu,Crop,,,,"Geographically, Kenya is a diverse country with many agro-ecological zones (AEZs). Maize (Zea mays L.) provides basic diet to millions of people in Kenya. Total land area under maize production is about 1.5 million hectares, with an annual average production estimated at 3.0 million metric tons.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
36,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app803971,KALRO Avocado Varieties,Crop,,,,"Out of the 40 varieties of Avocado, Hass is the main export variety and Fuerte is preferred for processing. Other commercial varieties are Keitt, Reed, Booth 8, Simmonds, Pinkerton, Nabal, Puebla, Tonnage, Ettinger, Hayes, G6 and G7. Varieties used as rootstocks include Puebla, Fuerte, Duke, G6, and G7.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
37,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app861310,KALRO Sugarcane Production,Crop,,,,"Sugarcane is of the tribe of Andropogonae and Gramineae family, and is defined as a semi perennial grass which grows within the tropics. It is known as a renewable agricultural resource, providing sugar, besides fiber, fertilizer and biofuel under ecological sustainability and as a product, it is an indispensable raw material in manufacture of various food, soft drinks and pharmaceutical products.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
38,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app929822,KALRO Coconut,Crop,,,,The coconut palm (Cocos nucifera) is a perennial tree crop that is widely cultivated in more than 86 tropical countries of the world with a total production of 54 billion nuts per year.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
39,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app813592,KALRO Garlic Production,Crop,,,,"Garlic can be planted using cloves, bulbils, seeds or tissue culture (TC) material. Cloves are the most preferred material used in planting garlic owing to its ease of use, shorter maturity period and yield.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
40,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app946957,KALRO Mango Propagation,Crop,,,,"Mango (Mangifera indica L.) belongs to the family Anacardiaceae with 75 genera and 700 species. Mangifera consists of 69 species. The centre of origin of mango is southern Asia (Burma, Eastern India and Andaman Islands). The mango has been cultivated, praised and even revered in its native lands since ancient times.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
41,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app800626,KALRO New Cowpea Varieties,Crop,,,,"KALRO New Cow Pea Varieties, planting and post -harvest measures.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
42,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app932950,KALRO Tea Seedling,Crop,,,,"Establishing a tea nursery whether for sale or for own plantings requires meticulous planning so that the plants are ready for transplanting or sale at the right time. Lack of planning may result in plants being ready for transplanting in the off planting season, causing losses where transplants die or there are no customers to purchase the plants.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
43,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app804324,Control MLN Disease,,,,,Maize lethal necrotic (MLN) disease was first identified in the USA in 1976 and referred to as corn lethal necrosis (CLN) disease. In USA (Kansas) CLN was reported to have caused maize yield losses in the range of 50 to 90% in the field. MLN is a result of interaction between two viruses infecting maize plant at the same time.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
44,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app804527,KALRO Guava Production,,,,,"Guava is in the family Mytaceae, with its origin in central to South America. In East Africa, guava grows well from sea level to an altitude of about 2,300 m. It is drought tolerant and grows well in marginal areas.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
45,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app943148,KALRO Pyrethrum Seedling,,,,,"Pyrethrum production is favored by cool temperatures and high rainfall which occur in the high attitude areas ranging from 1,500–3,000m. Fertile and well-drained soils of moderate organic matter are also ideal for vigorous pyrethrum flower production. ",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
46,https://play.google.com/store/apps/details?id=com.kalro.omfp,OMFP Dashboard,,,,,"The application is used to consolidate Data from Different Sources into centralized Dashboard , for informed Decision making by stakeholder of interest, under Kenya Climate Smart Agriculture Project.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
47,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app861366,KMFRI AQUACULTURE FARMING,,,,,"Kenya is endowed with a vast network of aquatic resources comprising freshwater lakes and rivers and an extensive ocean resource base. The physical potential is virtually unlimited—inland water resources cover an area of 18,029 km2, marine water area (including the EEZ) 142,400 km2 and a continental coastline 640 km—that supports diverse fish production.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
48,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app978186,Kenya Poultry Consultancy Plat,,,,,"Generally, poultry is a key livestock sub-sector in many of the rural households and thus deserve a lot of focus to enhance its productivity. As is true with the consumption of other livestock products, that of poultry meat has also been increasing over time.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
49,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app1052596,Simple Wooden Box for Hay Prod,,,,,"Hay refers to forage material primarily grass that has been harvested at the early flowering stage when there is a balance between dry matter content and concentration of essential nutrients, sufficiently dried and conserved for use as ruminant livestock feed. ",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
50,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app931923,KALRO Avocado Seedling,,,,,Avocado Multiplication of Seedling for various Varieties.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
51,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app805185,KALRO Medicated Feed Blocks,,,,,"Molasses-urea feed blocks (MUMB) are high energy and mineral supplement blocks incorporating an anthelmintic. The blocks can be made from a variety of ingredients depending on their local availability, nutritive value, price, existing facilities for their use and their influence on the quality of the blocks.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
